original,v2,v3,v4,v5,v6
1.480639842,-1.56453475,-0.105377015,1.281472177,1.456482446,1.844587417
1.717013758,1.480205624,-1.564608849,-0.106469393,1.28230147,1.456494916
1.772167672,1.716843477,1.480058654,-1.565385247,-0.111146336,1.282249303
1.417606798,1.772058976,1.716690843,1.478622968,-1.575849996,-0.111715599
1.00001288,1.417102197,1.771905021,1.715203917,1.480234397,-1.576962796
-0.268527135,0.99904199,1.416956737,1.770406139,1.71775391,1.480255681
-1.411001062,-0.270914487,0.998906535,1.415534715,1.773175129,1.717863335
1.961266805,-1.41466411,-0.271019547,0.997575037,1.416895861,1.773305121
1.653980714,1.961369259,-1.414741796,-0.272076057,0.997278055,1.41689364
1.669738975,1.65374005,1.961210772,-1.415550646,-0.277409995,0.997120119
1.732772019,1.669515907,1.653588926,1.959670898,-1.425420972,-0.278040956
1.29941984,1.732619334,1.669364405,1.652115664,1.963190739,-1.426477949
0.078154608,1.29878327,1.732466322,1.667887727,1.654415373,1.963391244
-1.237660191,0.076154364,1.298640642,1.73097598,1.670250007,1.654501294
2.03217898,-1.241129684,0.076040997,1.29724424,1.733588544,1.670341804
1.827321586,2.032360615,-1.241211523,0.074909335,1.298136104,1.733703845
1.622464192,1.827274475,2.032200429,-1.24205795,0.070951957,1.298089813
1.693376367,1.622188336,1.827119198,2.030645183,-1.251239996,0.070450269
0.842430269,1.693179692,1.622037967,1.82560836,2.034446593,-1.252232336
0.046638086,0.841283421,1.693027624,1.620571537,1.828596349,2.03467354
-1.363726279,0.04460265,0.841151743,1.691545822,1.622746105,1.828746907
1.795805064,-1.367336539,0.044490039,0.839854405,1.694001959,1.622820273
1.5988268,1.795722762,-1.367415358,0.043365208,0.838931714,1.69410257
1.496398103,1.598524551,1.795568239,-1.368234456,0.039282688,0.838715016
1.417606798,1.495981481,1.598374748,1.794064234,-1.377917069,0.038769249
1.118199838,1.417102197,1.495834133,1.596913442,1.796927081,-1.378956418
-0.063669742,1.117360917,1.416956737,1.494395031,1.598994154,1.797065886
-1.844353242,-0.065828348,1.11722263,1.415534715,1.496069032,1.599059508
1.212749404,-1.848500174,-0.065938316,1.115865512,1.416895861,1.496096191
1.354573754,1.212016058,-1.848567476,-0.067039235,1.116037812,1.41689364
1.307298971,1.35399877,1.211875506,-1.849282386,-0.071559751,1.115923946
1.252145057,1.306671199,1.353854819,1.210497892,-1.860873411,-0.072114323
0.795155486,1.2514557,1.306528382,1.352446461,1.211045617,-1.862091981
-0.213373222,0.793955851,1.251314204,1.305130272,1.353557324,1.210967007
-1.269176713,-0.215698988,0.793825305,1.24992805,1.306053422,1.353531599
2.110970285,-1.272681398,-0.21580537,0.792538215,1.250632202,1.306010069
