original,v2,v3,v4,v5,v6
1.620841358,1.715010241,1.315747565,-1.487882044,0.083841902,1.465423174
1.772847415,1.61998572,1.714831233,1.313840444,-1.498084417,0.08321191
1.734845901,1.772024954,1.619811312,1.712729747,1.313170187,-1.499181674
0.233786084,1.734015146,1.771843186,1.617756104,1.713416605,1.31290331
-1.324276005,0.232627707,1.733835217,1.769713934,1.618119839,1.713267952
1.715845144,-1.325774444,0.232520465,1.731724476,1.770594665,1.617943038
2.114861045,1.715010241,-1.325806239,0.231140906,1.732475958,1.770462901
1.763347037,2.114113231,1.714831233,-1.32642685,0.226787052,1.732332935
1.259826972,1.762522502,2.113914901,1.712729747,-1.336079914,0.226199283
1.544838329,1.258892538,1.762341194,2.111619051,1.713416605,-1.337129319
0.39529252,1.543966103,1.258735612,1.760216569,2.113663023,1.713267952
-1.400279033,0.394169394,1.543795375,1.256856258,1.761064988,2.113632594
1.525837572,-1.401794061,0.394054331,1.541777189,1.255992127,1.76093041
1.725345523,1.524961198,-1.401822176,0.3925961,1.541882426,1.255708362
1.278827729,1.724512693,1.524791391,-1.402405765,0.388791554,1.541683106
1.449834543,1.277897443,1.724333225,1.52278246,-1.412317327,0.388251638
1.364331136,1.448941581,1.277739596,1.722227112,1.522823072,-1.413389251
-0.013223759,1.363419512,1.448775454,1.275850986,1.722946282,1.522618123
-1.789794555,-0.014436049,1.363257525,1.446803545,1.27505148,1.722800444
1.041318264,-1.791394599,-0.014531329,1.361327266,1.446585659,1.274773345
1.183823943,1.040336139,-1.791403852,-0.015790567,1.36081857,1.446358191
1.33583,1.182872921,1.040189794,-1.791797704,-0.02098454,1.360565768
0.9368141,1.334912156,1.182719675,1.038416877,-1.803034069,-0.021645496
0.889312207,0.935809166,1.334751549,1.180877343,1.036809565,-1.804221401
-0.117727924,0.888296905,0.935667881,1.332835173,1.179754714,1.036461058
-1.276774112,-0.118963022,0.88815792,0.933945869,1.33222954,1.17944843
2.086359909,-1.278262183,-0.119053242,0.886459047,0.931983122,1.331968293
1.582839844,2.085605875,-1.278296279,-0.120261575,0.884334739,0.931603652
1.392832272,1.581975911,2.085408925,-1.278940028,-0.125810983,0.883941194
1.212325079,1.391926868,1.581803344,2.083126958,-1.288431531,-0.126502902
1.098320536,1.211380278,1.391763502,1.579766646,2.085073993,-1.289466862
0.148282677,1.097350852,1.211225652,1.389819359,1.580001132,2.08503512
-1.523783955,0.147105638,1.097201747,1.209369436,1.3894076,1.579813072
1.288328107,-1.525325939,0.147002536,1.095401064,1.208343744,1.389163242
1.544838329,1.287399895,-1.525348073,0.145664627,1.093987624,1.208045904
1.440334165,1.543966103,1.287241589,-1.525871502,0.141019962,1.093656007
1.478335679,1.439439129,1.543795375,1.285348351,-1.536203123,0.140406859
0.148282677,1.477448938,1.439273462,1.541777189,1.284581157,-1.53731164
-0.070226031,0.147105638,1.477281431,1.437306181,1.541882426,1.284305836
-1.618787741,-0.071450761,0.147002536,1.475295638,1.437055983,1.541683106
0.186284191,-1.62035046,-0.071543282,0.145664627,1.475174689,1.4368257
1.611340979,0.185115446,-1.620367994,-0.072774754,0.141019962,1.474955666
1.535337951,1.610483268,0.185010505,-1.620845145,-0.0781626,0.140406859
1.297828486,1.534463651,1.61030932,0.183654084,-1.63149989,-0.078840445
1.392832272,1.296902347,1.534293383,1.608258739,0.179138669,-1.632636555
-0.174730195,1.391926868,1.296743581,1.532279824,1.608590162,0.178536825
-1.770793798,-0.175977735,1.391763502,1.294845715,1.532352749,1.608410546
1.33583,-1.772389695,-0.176065195,1.389819359,1.294110834,1.532150614
1.459334922,1.334912156,-1.772399868,-0.177245762,1.3894076,1.293838328
1.307328865,1.458444033,1.334751549,-1.772802975,-0.182989043,1.389163242
1.354830758,1.306404799,1.458277446,1.332835173,-1.783974716,-0.183697851
1.563839087,1.35391706,1.306245573,1.456300909,1.33222954,-1.785156418
-0.060725652,1.562971007,1.353755533,1.30434308,1.456115336,1.331968293
-1.865797584,-0.061948309,1.562799359,1.351829901,1.30364051,1.455890683
0.670803499,-1.867414216,-0.06204129,1.560771918,1.351288893,1.303370819
0.803808799,0.669740506,-1.867419789,-0.063277389,1.560941779,1.351033276
0.661303121,0.802774836,0.669612102,-1.867776619,-0.068632924,1.560748089
0.946314478,0.660238054,0.802639991,0.668019667,-1.879271482,-0.069307953
0.651802742,0.945311618,0.66011011,0.800982768,0.665152176,-1.880481333
-0.174730195,0.650735601,0.945169873,0.658522303,0.798567649,0.66469389
-1.732792284,-0.175977735,0.650608118,0.943443234,0.6556225,0.798148771
0.832309935,-1.734379886,-0.176065195,0.649024938,0.941512798,0.655161399
0.879811828,0.831282192,-1.7343919,-0.177245762,0.646092823,0.941136143
0.765807285,0.878794453,0.831145968,-1.734813518,-0.182989043,0.645628907
0.908312964,0.764765027,0.878655928,0.829474861,-1.745856009,-0.183697851
0.718305392,0.907301809,0.764632023,0.876961683,0.827156679,-1.747026452
-0.184230574,0.717252766,0.907161904,0.762993311,0.874805062,0.826746245
-1.685290391,-0.185480187,0.717122062,0.905453776,0.760448943,0.874408703
